Date,Time,Open,High,Low,Close,Volume,"Exponential Moving Average - EMA - EMA(8,Modern)","Exponential Moving Average - EMA - EMA(21,Modern)","Simple Moving Average - SMA - SMA(31)","Relative Strength Index - RSI - RSI(14)"
09/22/2022,4:00 PM,374.98,375.26,374.13,374.23,2541705,0,0,0,0
09/23/2022,9:33 AM,370.58,370.62,369.6313,369.66,1868957,0,0,0,0
09/23/2022,9:36 AM,369.65,370.1,369.42,369.54,1077911,0,0,0,0
09/23/2022,9:39 AM,369.54,369.61,368.9,369.02,1040504,0,0,0,0
09/23/2022,9:42 AM,369,369.42,368.82,369.0901,1304796,0,0,0,0
09/23/2022,9:45 AM,369.09,369.37,368.43,369.05,937749,0,0,0,0
09/23/2022,9:48 AM,369.01,369.72,368.32,369.55,1335507,0,0,0,0
09/23/2022,9:51 AM,369.52,369.54,368.06,368.11,869344,369.7812625,0,0,0
09/23/2022,9:54 AM,368.07,368.48,367.77,368.22,923191,369.434315277778,0,0,0
09/23/2022,9:57 AM,368.2,368.4401,367.92,368.31,777575,369.184467438272,0,0,0
09/23/2022,10:00 AM,368.3,368.4,367.7,367.79,839183,368.874585785322,0,0,0
09/23/2022,10:03 AM,367.8,367.99,367.47,367.505,1070258,368.570233388584,0,0,0
09/23/2022,10:06 AM,367.5,368.14,367.43,367.8909,852373,368.419270413343,0,0,0
09/23/2022,10:09 AM,367.89,368.26,367.78,368,648060,368.326099210378,0,0,0
09/23/2022,10:12 AM,368.005,368.57,367.96,368.265,684621,368.312521608072,0,0,16.9536409165448
09/23/2022,10:15 AM,368.25,368.81,367.95,368.26,538481,368.300850139611,0,0,16.9435320653914
09/23/2022,10:18 AM,368.28,368.355,367.82,368.1911,634378,368.276461219698,0,0,16.794921155996
09/23/2022,10:21 AM,368.18,368.21,367.83,367.95,359604,368.203914281987,0,0,16.2575617838473
09/23/2022,10:24 AM,367.95,368.2799,367.66,367.94,630748,368.145266663768,0,0,16.2343606333755
09/23/2022,10:27 AM,367.95,368.35,367.66,368.18,454643,368.15298518293,0,0,19.2141484479625
09/23/2022,10:30 AM,368.1989,368.76,368.0826,368.7401,673955,368.283455142279,368.737723809524,0,25.8440131430484
09/23/2022,10:33 AM,368.76,368.76,368.335,368.6199,485838,368.358220666217,368.727012554113,0,25.3629601992828
09/23/2022,10:36 AM,368.62,368.63,367.71,367.72,527961,368.216393851502,368.635465958284,0,22.0533161086792
09/23/2022,10:39 AM,367.71,367.9,367.65,367.8,564710,368.123861884502,368.559514507531,0,23.0150777404028
09/23/2022,10:42 AM,367.79,368.2,367.66,368.07,457599,368.111892576835,368.515013188665,0,26.3193928793605
09/23/2022,10:45 AM,368.07,368.17,367.78,367.9,364652,368.064805337538,368.459102898786,0,25.5750681889043
09/23/2022,10:48 AM,367.8826,368.26,367.77,367.98,311556,368.045959706974,368.415548089805,0,26.6266681183417
09/23/2022,10:51 AM,367.93,368.115,367.67,367.75,277183,367.980190883202,368.355043718005,0,25.5106379008066
09/23/2022,10:54 AM,367.765,367.9473,367.35,367.89,742486,367.960148464713,368.312767016368,0,27.5025347026387
09/23/2022,10:57 AM,367.92,368.27,367.83,368.04,683404,367.977893250332,368.28797001488,0,29.6724654740916
09/23/2022,11:00 AM,368.07,368.38,367.41,367.4675,416348,367.864472528036,368.213381831709,368.475148387097,26.4219193447807
09/23/2022,11:03 AM,367.46,367.5451,367.17,367.41,627465,367.763478632917,368.140347119736,368.255148387097,26.1125135693019
09/23/2022,11:06 AM,367.43,367.71,367.32,367.67,464531,367.74270560338,368.097588290669,368.19095483871,30.0985427171273
09/23/2022,11:09 AM,367.68,368.35,367.63,367.79,432667,367.753215469295,368.06962571879,368.134503225806,31.9239366092393
09/23/2022,11:12 AM,367.785,368.3,367.7806,368.16,397796,367.843612031674,368.077841562536,368.106761290323,37.3558869296508
09/23/2022,11:15 AM,368.17,368.25,367.51,367.58,286494,367.785031580191,368.032583238669,368.058048387097,32.9213349885173
09/23/2022,11:18 AM,367.57,368.029,367.52,367.8,293340,367.788357895704,368.011439307881,368.017725806452,36.0236747253462
09/23/2022,11:21 AM,367.78,368.39,367.7323,368.2,359634,367.879833918881,368.028581188983,367.974177419355,41.3361564886802
09/23/2022,11:24 AM,368.21,368.48,368.11,368.29,328637,367.970981936907,368.052346535439,367.979983870968,42.4932388439768
09/23/2022,11:27 AM,368.29,368.82,368.1,368.19,572576,368.019652617595,368.064860486763,367.979016129032,41.5134670405974
