Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,448.920013,450.709991,448.269989,450.640015,443.922546,46996800
2021-10-19,448.920013,450.709991,448.269989,450.640015,443.922546,46996800
2021-10-20,451.130005,452.730011,451.010010,452.410004,445.666168,49571600
2021-10-21,451.769989,453.829987,451.309998,453.589996,446.828552,41305400
2021-10-22,453.130005,454.670013,451.049988,453.119995,446.365570,58845100
2021-10-25,454.279999,455.899994,452.390015,455.549988,448.759369,45214500
2021-10-26,457.200012,458.489990,455.559998,455.959991,449.163239,56075100
2021-10-27,456.450012,457.160004,453.859985,453.940002,447.173340,72438000
2021-10-28,455.459991,458.399994,455.450012,458.320007,451.488037,51437900
2021-10-29,455.869995,459.559998,455.559998,459.250000,452.404175,70162400
2021-11-01,460.299988,460.700012,458.200012,460.040009,453.182404,48433600
2021-11-02,460.220001,462.230011,460.079987,461.899994,455.014679,48908400
2021-11-03,461.299988,465.149994,460.829987,464.720001,457.792664,52509800
2021-11-04,465.359985,467.000000,464.989990,466.910004,459.950012,52847100
2021-11-05,469.279999,470.649994,466.920013,468.529999,461.545868,66390600
2021-11-08,469.700012,470.230011,468.200012,468.929993,461.939880,50405200
2021-11-09,469.320007,469.570007,465.880005,467.380005,460.413025,51149100
2021-11-10,465.579987,467.380005,462.040009,463.619995,456.709045,69429700
2021-11-11,465.209991,465.290009,463.750000,463.769989,456.856812,34848500
2021-11-12,465.119995,467.859985,464.109985,467.269989,460.304626,53466700
2021-11-15,468.640015,468.809998,466.230011,467.429993,460.462250,46980500
2021-11-16,467.149994,470.489990,467.070007,469.279999,462.284698,48857500
2021-11-17,469.000000,469.190002,467.480011,468.140015,461.161682,47858300
2021-11-18,469.239990,470.010010,466.339996,469.730011,462.727997,50625600
2021-11-19,469.609985,470.940002,468.500000,468.890015,461.900513,57315600
2021-11-22,470.890015,473.540009,467.350006,467.570007,460.600189,72762000
2021-11-23,467.220001,469.100006,464.450012,468.190002,461.210938,73206500
2021-11-24,466.059998,469.570007,465.190002,469.440002,462.442291,61858800
2021-11-26,462.339996,463.899994,457.769989,458.970001,452.128387,112669600
2021-11-29,464.070007,466.559998,461.730011,464.600006,457.674469,86268800
2021-11-30,462.000000,464.029999,455.299988,455.559998,448.769226,148559600
2021-12-01,461.640015,464.670013,450.290009,450.500000,443.784607,131939200
2021-12-02,450.730011,459.070007,450.309998,457.399994,450.581757,127637800
2021-12-03,459.170013,460.299988,448.920013,453.420013,446.661102,137331600
2021-12-06,456.130005,460.790009,453.559998,458.790009,451.951050,98977500
2021-12-07,464.410004,468.880005,458.649994,468.279999,461.299622,95484700
2021-12-08,468.700012,470.000000,466.829987,469.519989,462.521088,72238800
2021-12-09,468.149994,469.630005,466.140015,466.350006,459.398376,61272600
2021-12-10,469.230011,470.899994,466.510010,470.739990,463.722870,77159800
